NOTES:,This sheet contains merged booths (after 2010). See Merges sheet,,,,,,,,,
,,: merged booths after 2010,,,,,,,,
,,: error. No nearby 2010 matchs,,,,,,,,
,,: a sythesized 2006 result,,,,,,,,
,,,,,,,,,,
BOOTH_NAME,VENUE NAME,ADDRESS,DISTRICT,REGION,GREENS_PERC_2010,GREENS_PERC_2006,VENUE NAME,ADDRESS,LATITUDE,LONGITUDE
Caramut,Caramut War Memorial Hall,Brown Street Caramut,South-West Coast,Western Victoria,3.88,5.66,Caramut War Memorial Hall,Brown Street Caramut,-37.956873,142.519865
Carisbrook,Carisbrook Town Hall,Bucknall Street Carisbrook,Ripon,Western Victoria,6.57,6.45,Carisbrook Town Hall,Bucknall Street Carisbrook,-37.045861,143.813925
Carpendeit,Carpendeit Public Hall,corner Ansons and Carpendeit-Bungador Roads Carpendeit,Polwarth,Western Victoria,3.09,4.22,Carpendeit Public Hall,corner Ansons and Carpendeit-Bungador Roads Carpendeit,-38.370008,143.241865
Casterton,Casterton Town Hall,67 Henty Street Casterton,Lowan,Western Victoria,5.52,4.76,Casterton Town Hall,67 Henty Street Casterton,-37.584797,141.405297
Cavendish,Cavendish Memorial Hall,19 Barker Street Cavendish,Lowan,Western Victoria,4.45,3.59,Cavendish Memorial Hall,19 Barker Street Cavendish,-37.528079,142.040328
Ceres,Ceres Primary School,605 Barrabool Road Ceres,South Barwon,Western Victoria,10.63,8.29,Ceres Primary School,605 Barrabool Road Ceres,-38.173771,144.2674
Charlton,Charlton Senior Citizens Hall,1 High Street Charlton,Ripon,Western Victoria,5.22,0.00,Charlton Senior Citizens Hall,1 High Street Charlton,-36.267316,143.348205
Chilwell,Chilwell Primary School,313a Pakington Street Newtown,Geelong,Western Victoria,14.00,11.09,Chilwell Primary School,313a Pakington Street Newtown,-38.154985,144.344475
Clarkes Hill,St Marys Catholic School,131 Powells Road Clarkes Hill,Buninyong,Western Victoria,5.88,5.41,St Marys Catholic School,131 Powells Road Clarkes Hill,-37.498444,143.989687
Clifton Springs,Clifton Springs Primary School,186 Jetty Road Clifton Springs,Bellarine,Western Victoria,8.84,7.25,Clifton Springs Primary School,186 Jetty Road Clifton Springs,-38.16549,144.552534
Clunes,Clunes Town Hall,Ballarat-Maryborough Road Clunes,Ripon,Western Victoria,10.87,9.24,Clunes Town Hall,Ballarat-Maryborough Road Clunes,-37.295056,143.7853
Cobden,Cobden Civic Hall,corner Victoria and Silvester Streets Cobden,Polwarth,Western Victoria,5.16,5.83,Cobden Civic Hall,corner Victoria and Silvester Streets Cobden,-38.326983,143.077041
Coburn,Coburn Primary School,Richard Road Melton South,Melton,Western Victoria,9.28,6.09,Coburn Primary School,Richard Road Melton South,-37.693603,144.572587
Colac,Bluewater Fitness Centre,118-134 Hearn Street Colac,Polwarth,Western Victoria,7.71,6.35,Bluewater Fitness Centre,118-134 Hearn Street Colac,-38.35062,143.589882
Colac East,Colac Primary School,65 Murray Street East  Colac,Polwarth,Western Victoria,6.02,5.18,Colac Primary School,65 Murray Street East  Colac,-38.3371,143.598093
Colac West,Wesley Uniting Church,corner Grant and Skene Streets Colac,Polwarth,Western Victoria,6.09,5.13,Wesley Uniting Church,corner Grant and Skene Streets Colac,-38.337832,143.582064
Coleraine,Coleraine Primary School,124 Church Street (enter via McConchie Street) Coleraine,Lowan,Western Victoria,4.25,5.73,Coleraine Primary School,124 Church Street (enter via McConchie Street) Coleraine,-37.601728,141.684041
Collendina,Bellarine Aquatic and Sports Centre,Shell Road Ocean Grove,Bellarine,Western Victoria,14.70,12.93,Bellarine Aquatic and Sports Centre,Shell Road Ocean Grove,-38.258731,144.539811
